1. Pozisyon;1. Kuvvet
322,63;6056,15
322,50;6016,04
322,34;5965,70
322,17;5913,03
321,98;5851,63
321,77;5788,50
321,53;5717,85
321,28;5646,79
321,01;5569,11
320,71;5491,93
320,40;5409,28
320,07;5327,79
319,71;5240,63
319,34;5156,93
318,95;5068,26
318,54;4983,02
318,10;4893,44
317,65;4806,97
317,19;4718,07
316,75;4634,69
316,30;4550,62
315,85;4472,84
315,40;4394,72
314,95;4323,61
314,50;4251,96
314,05;4185,71
313,60;4119,20
313,15;4057,83
312,70;3995,91
312,25;3938,74
311,80;3880,69
311,35;3827,21
310,90;3772,15
310,45;3722,35
310,00;3670,73
309,55;3623,29
309,10;3574,19
308,65;3529,16
308,20;3482,04
307,75;3439,65
307,30;3394,55
306,85;3353,68
306,40;3310,69
305,95;3271,55
305,50;3230,20
305,05;3192,56
304,60;3152,41
304,15;3116,56
303,70;3078,07
303,25;3043,27
302,80;3005,98
302,35;2972,09
301,90;2936,01
301,45;2903,76
301,00;2868,42
300,55;2837,18
300,10;2802,85
299,65;2772,55
299,20;2739,10
298,75;2709,62
298,30;2677,03
297,85;2648,01
297,40;2616,29
296,95;2588,04
296,50;2556,79
296,05;2529,42
295,60;2498,74
295,15;2471,94
294,70;2442,09
294,25;2415,58
293,80;2386,26
293,35;2360,27
292,90;2331,23
292,45;2306,03
292,00;2277,52
291,55;2252,77
291,10;2224,73
290,65;2200,40
290,20;2172,81
289,75;2148,90
289,30;2121,68
288,85;2098,17
288,40;2071,26
287,95;2047,89
287,50;2021,52
287,05;1998,41
286,60;1972,12
286,15;1949,47
285,70;1923,69
285,25;1901,11
284,80;1875,34
284,35;1853,00
283,90;1827,86
283,45;1805,75
283,00;1780,51
282,55;1758,91
282,10;1733,92
281,65;1712,53
281,20;1687,80
280,75;1666,65
280,30;1642,15
279,85;1621,07
279,40;1596,92
278,95;1576,04
278,50;1552,09
278,05;1531,36
277,60;1507,38
277,15;1487,00
276,70;1463,34
276,25;1442,88
275,80;1419,37
275,35;1399,03
274,90;1375,45
274,45;1355,45
274,00;1332,01
273,55;1312,12
273,10;1288,80
272,65;1268,89
272,20;1245,92
271,75;1226,31
271,30;1203,32
270,85;1183,80
270,40;1160,92
269,95;1141,41
269,50;1118,85
269,05;1099,41
268,60;1076,72
268,15;1057,63
267,70;1035,24
267,25;1015,99
266,80;993,45
266,35;974,31
265,90;952,01
265,45;932,95
265,00;910,73
264,55;891,87
264,10;869,78
263,65;850,80
263,20;828,61
262,75;809,81
262,30;787,87
261,85;769,29
261,40;747,29
260,95;728,61
260,50;706,96
260,05;688,39
259,60;666,56
259,15;648,18
258,70;626,46
258,25;607,96
257,80;586,43
257,35;568,02
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
0,00;0,00
