6. Pozisyon;6. Kuvvet
244,508531;45,590698
244,757288;61,554932
245,006273;78,067627
245,256975;96,608521
245,506914;114,338135
245,757158;133,245239
246,007135;150,782471
246,256655;169,228516
246,507242;186,227295
246,757295;204,208618
247,006586;220,71875
247,257021;237,929932
247,507227;254,008423
247,757166;271,040894
248,007295;286,49646
248,256777;302,995728
248,507173;318,265869
248,757723;334,542847
249,006746;349,572632
249,257219;365,782959
249,507273;380,310059
249,757288;396,278442
250,007303;410,643433
250,256861;426,46106
250,507601;440,743042
250,757463;456,341309
251,006906;470,378296
251,257379;486,016479
251,507166;499,806763
251,757143;515,328247
252,00754;528,973755
252,257021;544,230469
252,507417;558,003174
252,757433;573,13147
253,006609;586,823242
253,257425;601,803101
253,507364;615,411377
253,75715;630,318115
254,007623;643,940063
254,25699;658,700317
254,507387;672,198608
254,757364;686,943115
255,006769;700,290161
255,257433;715,139038
255,507257;728,322021
255,757349;743,093262
256,007593;756,233276
256,25696;770,964111
256,507585;784,024292
256,757372;798,738159
257,006929;811,760376
257,257479;826,351929
257,507227;839,438843
257,757471;853,964844
258,007715;867,019287
258,256967;881,438599
258,507479;894,401855
258,757456;909,015625
259,006861;921,791626
259,257524;936,301147
259,507234;949,074097
259,75725;963,572021
260,007456;976,315186
260,256632;990,734009
260,507372;1003,459106
260,757463;1017,863525
261,006983;1030,583252
261,257608;1044,993164
261,507204;1057,842651
261,757295;1072,091675
262,007616;1084,910034
262,256983;1099,166382
262,507379;1111,901489
262,757547;1126,253784
263,006876;1139,06311
263,257425;1153,296753
263,507135;1166,098511
263,757265;1180,303589
264,0077;1193,121704
264,257067;1207,328003
264,507578;1220,134888
264,757669;1234,338013
265,006883;1247,132202
265,257547;1261,482056
265,507105;1274,103882
265,757463;1288,449585
266,007707;1301,111694
266,257036;1315,451294
266,507623;1328,159058
266,757486;1342,491821
267,007082;1355,168823
267,257479;1369,620972
267,50715;1382,212036
267,757433;1396,418823
268,007791;1409,131714
268,256815;1423,314087
268,507479;1435,995972
268,757684;1450,226929
269,006899;1462,941528
269,257448;1477,086792
269,507273;1489,838013
269,757402;1504,005737
270,007723;1516,760864
270,256784;1531,072388
270,507562;1543,70813
270,757578;1558,016724
271,006906;1570,634888
271,257303;1584,945923
271,507204;1597,598022
271,75741;1612,102905
272,007616;1624,630005
272,256944;1639,012085
272,507303;1651,750122
272,757547;1666,153931
273,006952;1678,897583
273,257387;1693,279663
273,50725;1706,23938
273,757265;1720,701782
274,0077;1733,4823
274,256838;1747,815796
274,507463;1760,741089
274,757555;1775,344604
275,006883;1788,154907
275,257433;1802,687378
275,507334;1815,629517
275,757463;1830,175415
276,007669;1843,060913
276,256769;1857,701294
276,507623;1870,655396
276,757601;1885,370728
277,006853;1898,360229
277,257517;1913,009644
277,507189;1926,018921
277,757509;1940,688354
278,007677;1953,713745
278,256815;1968,396118
278,50744;1981,476685
278,757494;1996,153931
279,006937;2009,318237
279,257334;2023,959106
279,507158;2037,224976
279,757631;2052,100586
280,007799;2065,249512
280,256822;2079,977539
280,507562;2093,290039
280,757501;2108,283691
281,006792;2121,468262
281,257532;2136,495605
281,506975;2149,808594
281,757601;2164,87793
282,007692;2178,294434
282,256677;2193,60791
282,507341;2206,876465
282,757585;2222,075684
283,006838;2235,692871
283,257425;2250,84082
283,506601;2264,534668
283,757684;2279,937012
284,007738;2293,601074
284,256838;2308,9375
284,507273;2322,76709
284,757555;2338,188477
285,006922;2352,132812
285,257204;2367,747559
285,506952;2381,617187
285,757578;2397,316406
286,00786;2411,288086
286,256769;2427,120117
286,507738;2441,078125
286,757677;2457,118652
287,007044;2471,042969
287,257517;2486,965332
287,50696;2501,268066
287,757547;2517,149414
288,007791;2531,468262
288,256586;2547,483887
288,507593;2561,815918
288,757456;2577,972656
289,006861;2592,51123
289,257448;2608,77002
289,507005;2623,283691
289,757593;2639,657715
290,007761;2654,280762
290,256555;2670,761719
290,507448;2685,433105
290,757387;2701,883789
291,006563;2716,828613
291,257608;2733,520508
291,50667;2748,529297
291,757562;2765,306641
292,007692;2780,439453
292,25641;2797,387207
292,507608;2812,617187
292,757547;2829,75
293,006685;2845,156738
293,257463;2862,353516
293,506754;2878,021484
293,757608;2895,282715
294,007929;2911,087402
294,256456;2928,703613
294,507578;2944,419434
294,757479;2962,013184
295,006731;2978,242676
295,257509;2995,853516
295,506876;3012,217773
295,757692;3030,23877
296,007593;3046,569336
296,256578;3064,763184
296,507585;3081,21582
296,75741;3099,67334
297,006967;3116,278809
297,257097;3134,788086
297,506655;3151,584473
297,7577;3170,439941
298,007639;3187,257812
298,256471;3206,059082
298,50725;3223,143555
298,757265;3242,117187
299,006784;3259,505859
299,257105;3278,562988
299,506662;3296,199219
299,757517;3315,412109
300,007532;3333,265137
300,256288;3352,88623
300,507601;3370,853027
300,757387;3390,68457
301,006868;3408,756348
301,25715;3428,849609
301,506784;3447,244629
301,757486;3467,578613
302,007425;3486,249512
302,256334;3506,923828
302,507417;3525,756348
302,75728;3546,666504
303,006952;3565,808105
303,257082;3586,985352
303,506868;3606,598633
303,757494;3627,913086
304,007585;3647,879395
304,256151;3669,437012
304,507654;3689,628418
304,757402;3711,666992
305,006807;3732,181641
305,257166;3754,397949
305,506685;3775,289062
305,75754;3797,804199
306,00725;3819,095703
306,255968;3842,143066
306,507395;3863,505859
306,757105;3886,978027
307,00651;3908,664062
307,256754;3932,449219
307,506464;3954,539551
307,757433;3978,687012
308,007334;4001,217285
308,25609;4025,712891
308,50725;4048,548828
308,756807;4073,532715
309,006517;4096,799316
309,256838;4122,121582
309,506548;4146,046387
309,757669;4171,691406
310,006922;4196,081543
310,255945;4222,458984
310,507601;4247,120117
310,757005;4273,835937
311,006639;4299,488281
311,25715;4326,550781
311,506365;4352,655762
311,757448;4380,681641
312,00712;4407,190918
312,255762;4435,872559
312,507456;4462,906738
312,756746;4492,327637
313,006113;4520,275879
313,2567;4550,133301
313,506525;4578,673828
313,757417;4609,460449
314,007128;4638,831055
314,25577;4670,400391
314,507082;4700,705078
314,757135;4733,017578
315,006273;4764,254883
315,256555;4797,64209
315,50596;4829,519043
315,757234;4863,857422
316,006792;4897,056641
316,255243;4932,230957
316,507013;4966,065918
316,756647;5002,603027
317,005594;5037,568359
317,255953;5074,847168
317,505663;5111,762207
317,756937;5150,393066
318,007028;5188,143066
318,254831;5228,458496
318,507059;5267,339355
318,756578;5309,255371
319,005564;5350,094238
319,256113;5393,595703
319,50567;5435,533691
319,75683;5480,643555
320,006197;5524,901855
320,253656;5572,403809
320,506799;5618,351074
320,756586;5667,388672
321,005419;5716,099121
321,253259;5767,813477
321,476419;5817,859375
321,677339;5867,01123
321,857736;5910,899414
322,021578;5952,694824
322,159174;5988,693359
322,285745;6021,719238
322,388399;6048,643555
322,464922;6072,081543
322,532709;6087,714844
322,577913;6101,075684
322,597444;6107,060059
322,60782;6108,098145
322,668169;6104,279297
322,796381;6111,111816
322,909334;6132,631348
322,928217;6156,439453
322,950456;6164,75293
322,96808;6169,105957
322,980593;6168,269531
322,988374;6166,778809
322,99238;6161,642578
322,99505;6156,905273
322,996652;6149,733887
322,997797;6144,036621
322,998598;6136,617187
322,999018;6130,900879
322,999323;6123,777344
322,99959;6118,591797
322,999742;6112,016602
322,999819;6107,360352
322,999857;6101,247559
322,999895;6097,076172
322,999895;6091,46582
322,999933;6087,838867
322,999895;6082,630859
322,999933;6079,370605
322,999933;6074,508789
322,999971;6071,561523
322,999971;6067,042969
322,999895;6064,388672
322,999933;6060,098633
322,999895;6057,663574
322,999933;6053,598633
323,000047;6051,378418
322,999971;6047,499512
322,996805;6045,475098
322,979524;6041,506836
322,924173;6036,223633
322,841318;6019,397949
322,743547;5994,005371
322,630632;5959,168457
322,497728;5919,223145
322,343958;5871,35791
322,172144;5819,816406
321,976984;5761,644043
321,765802;5699,126953
321,533144;5631,239746
321,27939;5562,739258
321,006601;5487,80957
320,713632;5412,056641
320,401171;5332,858398
320,066622;5252,912109
319,713762;5170,077148
319,3416;5087,096191
318,948381;5002,640137
318,535326;4918,165527
318,102091;4831,913086
317,649439;4747,513184
317,194803;4661,967285
316,746805;4579,063477
316,29751;4498,694824
315,846536;4421,799316
315,396555;4346,473633
314,94684;4275,966797
314,496858;4206,365723
314,046343;4141,132324
313,596781;4076,447754
313,146646;4015,868164
312,696131;3955,634766
312,247064;3899,092773
311,796243;3842,669434
311,346147;3789,305176
310,896662;3736,69043
310,446337;3686,64209
309,996126;3636,478516
309,546526;3588,880859
309,095857;3541,54834
308,645876;3496,331055
308,19681;3451,261719
307,745722;3407,839844
307,296274;3365,073242
306,846216;3323,793457
306,395967;3282,051758
305,946253;3242,82373
305,496309;3203,052734
305,045297;3164,973633
304,595812;3126,258301
304,145906;3089,620117
303,695619;3052,538574
303,246439;3017,224609
302,795809;2981,383301
302,346018;2947,196289
301,896227;2912,550781
301,445711;2879,609375
300,9955;2845,670898
300,546091;2813,719727
300,095651;2780,782227
299,64567;2749,541504
299,196337;2717,662598
298,745439;2687,074707
298,29603;2656,170898
297,845934;2626,505371
297,39538;2596,091309
296,945665;2567,11084
296,496103;2537,379395
296,045511;2508,831543
295,595911;2479,592285
295,145929;2452,041992
294,69507;2423,209961
294,246271;2395,983398
293,795603;2367,838379
293,345545;2341,155273
292,895944;2313,533203
292,445619;2287,359863
291,995371;2260,235352
291,546076;2234,472656
291,095445;2207,82959
290,645502;2182,505371
290,196321;2156,306641
289,745348;2131,419922
289,295481;2105,368652
288,84569;2081,049316
288,395593;2055,537598
287,945688;2031,355347
287,495897;2005,955444
287,045305;1982,236938
286,595667;1957,091675
286,14599;1933,639038
285,695284;1908,75769
285,245683;1885,564575
284,79532;1860,941772
284,345529;1837,931763
283,895853;1813,546021
283,44549;1790,784546
282,995432;1766,727173
282,54587;1744,214966
282,095812;1720,422729
281,645487;1698,006958
281,195963;1674,370483
280,745447;1652,403687
280,295923;1629,221802
279,845751;1607,261108
279,395387;1584,262329
278,945329;1562,470581
278,495729;1539,652954
278,045328;1518,047485
277,595537;1495,411499
277,145784;1473,880249
276,695307;1450,969849
276,245821;1429,864868
275,795458;1407,393921
275,345705;1386,338013
274,895761;1363,928833
274,445513;1343,00647
273,995455;1320,70813
273,545778;1299,798218
273,095453;1277,786987
272,645357;1257,096802
272,195986;1235,068481
271,745394;1214,391968
271,29545;1192,614868
270,845621;1172,085815
270,395563;1150,446655
269,945467;1130,053833
269,495676;1108,587769
269,045427;1088,276978
268,595522;1066,677856
268,145998;1046,690796
267,695291;1025,199219
267,245615;1005,140381
266,795481;983,850708
266,345575;963,848389
265,895593;942,620117
265,445612;922,823975
264,995401;901,573364
264,545305;881,806274
264,095667;860,615967
263,645609;840,831421
263,195703;819,885742
262,745378;800,164429
262,295893;779,320923
261,845491;759,74292
261,3957;738,973145
260,945184;719,386597
260,49547;698,499756
260,045679;679,191162
259,595697;658,60083
259,14541;639,190308
258,695543;618,273193
258,245828;599,168335
257,795427;578,629028
257,345484;559,396118
256,895197;538,878662
256,445596;519,707397
255,995653;499,280151
255,545442;480,216919
255,095232;459,729736
254,645212;440,622803
254,195612;420,100708
253,745363;401,296021
253,295648;380,94043
252,8454;361,875122
252,395876;341,471802
251,945322;322,656128
251,495531;302,442749
251,045549;283,344849
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
