1. Pozisyon;1. Kuvvet;2. Pozisyon;2. Kuvvet;3. Pozisyon;3. Kuvvet;4. Pozisyon;4. Kuvvet;5. Pozisyon;5. Kuvvet;6. Pozisyon;6. Kuvvet;7. Pozisyon;7. Kuvvet;8. Pozisyon;8. Kuvvet;9. Pozisyon;9. Kuvvet;10. Pozisyon;10. Kuvvet;11. Pozisyon;11. Kuvvet;12. Pozisyon;12. Kuvvet
0;0;0;0;300,757463;3493,273926;300,757044;3445,233398;0;0;301,006868;3408,756348;301,007021;3390,283203;0;0;301,257074;3380,170898;301,257227;3367,179687;301,257608;3357,219727;301,257036;3348,489258
0;0;0;0;301,006601;3511,519531;301,006906;3462,583984;0;0;301,25715;3428,849609;301,257112;3409,353516;0;0;301,506593;3399,388672;301,506593;3387,601074;301,506937;3377,499023;301,506822;3368,94873
0;0;0;0;301,257265;3533,265625;301,257265;3484,055176;0;0;301,506784;3447,244629;301,506632;3428,495117;0;0;301,757562;3418,227539;301,757715;3405,07959;301,757143;3395,055176;301,757448;3386,12793
0;0;0;0;301,506861;3551,529297;301,506708;3501,868652;0;0;301,757486;3467,578613;301,757448;3448,013672;0;0;302,007501;3437,71875;302,007349;3425,667969;302,007578;3415,496582;302,007501;3406,858887
0;0;0;0;301,757295;3573,427734;301,75741;3523,556641;0;0;302,007425;3486,249512;302,007425;3467,246582;0;0;302,256029;3456,802246;302,256525;3443,506348;302,256296;3433,287109;302,25641;3424,288574
0;0;0;0;302,00773;3592,114258;302,007273;3541,65918;0;0;302,256334;3506,923828;302,25622;3486,963867;0;0;302,507417;3476,529297;302,507723;3464,42334;302,507341;3453,931641;302,50715;3445,329102
0;0;0;0;302,25622;3614,330566;302,256334;3563,640625;0;0;302,507417;3525,756348;302,50757;3506,542969;0;0;302,757242;3495,932617;302,756975;3482,415527;302,757623;3472,240234;302,757433;3462,936523
0;0;0;0;302,507303;3633,369629;302,507456;3581,986816;0;0;302,75728;3546,666504;302,756975;3526,319336;0;0;303,006723;3516,044434;303,006609;3503,553223;303,006571;3493,20752;303,006685;3484,120117
0;0;0;0;302,757128;3655,750977;302,757242;3604,291992;0;0;303,006952;3565,808105;303,007067;3546,270508;0;0;303,257005;3535,722168;303,257196;3521,947754;303,257425;3511,330078;303,257158;3502,105469
0;0;0;0;303,006799;3674,961914;303,00699;3622,917969;0;0;303,257082;3586,985352;303,257349;3566,561035;0;0;303,506754;3555,806152;303,506716;3543,277344;303,506868;3532,754883;303,506792;3523,57373
